class,precision,recall,f1_score,support
NOT_UP,0.7438498957609451,0.6184899845916795,0.6754022504995267,25960
UP,0.3832357703325445,0.526748266712317,0.443675426264374,11683
accuracy,0.5900167361793693,,,37643
