model_id,model_name,split,row_type,cv_f1_up,decision_threshold,accuracy,precision_up,recall_up,f1_up,precision_not_up,recall_not_up,f1_not_up,selected
3,Random Forest,test,final,0.4702755740200911,0.49,0.5766093366093367,0.28895089285714287,0.5355812991311544,0.375380600260983,0.8028972783143108,0.5893915957721062,0.6797740280978221,True
-1,Always UP,test,baseline,,,0.23754299754299754,0.23754299754299754,1.0,0.38389453621346886,0.0,0.0,0.0,False
-2,Always NOT_UP,test,baseline,,,0.7624570024570024,0.0,0.0,0.0,0.7624570024570024,1.0,0.865220543132772,False
