model_id,model_name,split,row_type,cv_f1_up,decision_threshold,accuracy,precision_up,recall_up,f1_up,precision_not_up,recall_not_up,f1_not_up,selected
2,Logistic Regression,validation,candidate,0.45734299469177625,0.49,0.5735528808149507,0.3880760145259669,0.4948523130872634,0.4350077065960558,0.7095439975183538,0.6126238728684938,0.6575316213108471,False
3,Random Forest,validation,candidate,0.4702755740200911,0.49,0.5622324637940549,0.39520551984431207,0.6025715955581531,0.4773403137631996,0.7331965110312981,0.5422060530309794,0.6234009520510155,True
4,Gradient Boosting,validation,candidate,0.4713849943252372,0.49,0.5735081360836428,0.40092338407786376,0.5777997572269927,0.47337888358901636,0.7316167014375125,0.571377555575395,0.6416442132965725,False
-1,Always UP,validation,baseline,,,0.3317523528271213,0.3317523528271213,1.0,0.4982192854742972,0.0,0.0,0.0,False
-2,Always NOT_UP,validation,baseline,,,0.6682476471728788,0.0,0.0,0.0,0.6682476471728788,1.0,0.8011372272040482,False
