model_id,model_name,cv_f1_up,cv_f1_up_std,cv_precision_up,cv_recall_up,decision_threshold,oof_predicted_up_ratio,threshold_constraint_passed,best_score,cv_n_splits,cv_gap
2,Logistic Regression,0.4570929239811605,0.04695999528512987,0.4096676726248073,0.5418812228874382,0.49,0.4996293770569573,True,0.4570929239811605,4,5
3,Random Forest,0.4755215171686835,0.014768469164674013,0.419003209370469,0.5574325340087962,0.48,0.4996056571886026,True,0.4755215171686835,4,5
4,Gradient Boosting,0.4765129497288501,0.021165873603561022,0.4226963404037273,0.5498948356277316,0.49,0.4876034038011089,True,0.4765129497288501,4,5
