already-tested LR combos: 5
remaining untested combos to try: 1600
[65] LR_20260709_080305 f1_up=0.5477 | C=2.209e-01 solver=liblinear | elapsed=272s
[66] LR_20260709_080313 f1_up=0.5482 | C=1.029e-06 solver=liblinear | elapsed=275s
[67] LR_20260709_080316 f1_up=0.5475 | C=1.263e+01 solver=lbfgs | elapsed=278s
[68] LR_20260709_080319 f1_up=0.5481 | C=8.559e-03 solver=lbfgs | elapsed=281s
[69] LR_20260709_080322 f1_up=0.5488 | C=4.164e-05 solver=liblinear | elapsed=285s
[70] LR_20260709_080326 f1_up=0.5483 | C=1.075e-03 solver=lbfgs | elapsed=288s
[71] LR_20260709_080329 f1_up=0.5489 | C=5.491e-05 solver=liblinear | elapsed=292s
[72] LR_20260709_080333 f1_up=0.5477 | C=9.119e-01 solver=liblinear | elapsed=300s
[73] LR_20260709_080341 f1_up=0.5483 | C=1.918e-06 solver=lbfgs | elapsed=302s
[74] LR_20260709_080343 f1_up=0.5481 | C=2.032e-02 solver=liblinear | elapsed=310s
[75] LR_20260709_080351 f1_up=0.5481 | C=1.129e-02 solver=lbfgs | elapsed=313s
[76] LR_20260709_080354 f1_up=0.5477 | C=2.165e+00 solver=liblinear | elapsed=321s
[77] LR_20260709_080402 f1_up=0.5479 | C=1.278e-03 solver=lbfgs | elapsed=324s
[78] LR_20260709_080405 f1_up=0.5475 | C=5.817e-01 solver=lbfgs | elapsed=327s
[79] LR_20260709_080408 f1_up=0.5483 | C=1.907e-04 solver=lbfgs | elapsed=329s
[80] LR_20260709_080410 f1_up=0.5484 | C=5.970e-04 solver=liblinear | elapsed=335s
[81] LR_20260709_080416 f1_up=0.5482 | C=1.224e-06 solver=lbfgs | elapsed=337s
[82] LR_20260709_080418 f1_up=0.5490 | C=6.758e-05 solver=liblinear | elapsed=341s
[83] LR_20260709_080422 f1_up=0.5479 | C=1.869e-03 solver=lbfgs | elapsed=344s
[84] LR_20260709_080425 f1_up=0.5482 | C=4.686e-04 solver=liblinear | elapsed=349s
[85] LR_20260709_080430 f1_up=0.5477 | C=4.540e+01 solver=liblinear | elapsed=357s
[86] LR_20260709_080438 f1_up=0.5477 | C=2.486e+00 solver=lbfgs | elapsed=360s
[87] LR_20260709_080441 f1_up=0.5477 | C=5.184e+03 solver=liblinear | elapsed=368s
[88] LR_20260709_080449 f1_up=0.5477 | C=8.292e+02 solver=liblinear | elapsed=376s
[89] LR_20260709_080457 f1_up=0.5477 | C=4.361e+03 solver=liblinear | elapsed=384s
[90] LR_20260709_080505 f1_up=0.5477 | C=5.587e+01 solver=liblinear | elapsed=392s
[91] LR_20260709_080513 f1_up=0.5483 | C=1.497e-04 solver=lbfgs | elapsed=394s
[92] LR_20260709_080515 f1_up=0.5482 | C=2.097e-07 solver=liblinear | elapsed=397s
[93] LR_20260709_080518 f1_up=0.5476 | C=1.315e-01 solver=liblinear | elapsed=404s
[94] LR_20260709_080525 f1_up=0.5475 | C=4.475e+00 solver=lbfgs | elapsed=408s
[95] LR_20260709_080529 f1_up=0.5483 | C=6.935e-08 solver=lbfgs | elapsed=410s
[96] LR_20260709_080531 f1_up=0.5483 | C=1.790e-06 solver=liblinear | elapsed=412s
[97] LR_20260709_080533 f1_up=0.5481 | C=2.566e-05 solver=lbfgs | elapsed=415s
[98] LR_20260709_080535 f1_up=0.5484 | C=1.842e-04 solver=liblinear | elapsed=419s
[99] LR_20260709_080540 f1_up=0.5482 | C=9.885e-05 solver=lbfgs | elapsed=421s
[100] LR_20260709_080542 f1_up=0.5484 | C=6.856e-04 solver=liblinear | elapsed=426s
[101] LR_20260709_080547 f1_up=0.5478 | C=3.185e-02 solver=lbfgs | elapsed=430s
[102] LR_20260709_080551 f1_up=0.5477 | C=5.701e+00 solver=liblinear | elapsed=438s
[103] LR_20260709_080559 f1_up=0.5482 | C=5.413e-06 solver=liblinear | elapsed=441s
[104] LR_20260709_080602 f1_up=0.5481 | C=1.946e-05 solver=liblinear | elapsed=445s
[105] LR_20260709_080606 f1_up=0.5482 | C=7.036e-07 solver=lbfgs | elapsed=447s
[106] LR_20260709_080608 f1_up=0.5475 | C=3.345e-01 solver=lbfgs | elapsed=450s
[107] LR_20260709_080611 f1_up=0.5483 | C=3.024e-08 solver=liblinear | elapsed=453s
