index,C,solver,cv_f1_up_mean,cv_f1_up_std,cv_precision_up_mean,cv_recall_up_mean,cv_f1_up_folds_json,seconds,dataset_fingerprint,status,error
1,1.0,lbfgs,0.4169172395337803,0.0596765177008435,0.4186878259357183,0.42683010070513633,"[0.49136456908344733, 0.4701289834206581, 0.36879589652754713, 0.33268631000414384, 0.42161043863310527]",2.708,4c2259e97b3f,ok,
2,1.0,liblinear,0.4169365688215718,0.05981795057717268,0.41860145618365074,0.42689941123088737,"[0.4914964532945902, 0.4701864829552203, 0.368284180822221, 0.3326577312847336, 0.422057995751094]",7.652,4c2259e97b3f,ok,
3,0.944060876286,lbfgs,0.41692013864991884,0.05968013456274806,0.41868841105484406,0.4268364978392203,"[0.4913790646641398, 0.4701289834206581, 0.36879589652754713, 0.33268631000414384, 0.42161043863310527]",3.043,4c2259e97b3f,ok,
4,0.944060876286,liblinear,0.4169393792356987,0.05982653005572833,0.4186003082497141,0.4269058083649712,"[0.49153194216936114, 0.4701795020266358, 0.3682773884175581, 0.3326577312847336, 0.42205033228020483]",8.297,4c2259e97b3f,ok,
5,1.05925372518,lbfgs,0.4169114887648556,0.05967320254450465,0.4186806325586635,0.4268237035710524,"[0.4913430708941931, 0.4701289834206581, 0.36879589652754713, 0.3326790543487743, 0.42161043863310527]",2.6,4c2259e97b3f,ok,
6,1.05925372518,liblinear,0.4169540763385654,0.05981885887927105,0.4186159770753652,0.42692004798281824,"[0.49152494088824317, 0.470209196323846, 0.368284180822221, 0.33269406790742273, 0.422057995751094]",7.398,4c2259e97b3f,ok,
7,1.1220184543,lbfgs,0.4169224686546193,0.05966980521093964,0.41869317171065423,0.42683017190436817,"[0.49139306885544914, 0.4700975225994152, 0.36879589652754713, 0.33271541665757964, 0.42161043863310527]",2.598,4c2259e97b3f,ok,
8,1.1220184543,liblinear,0.41694433266482944,0.05980967727823045,0.41860238447857395,0.4269141088988834,"[0.49146796570093726, 0.4702319090180242, 0.3682773884175581, 0.33269406790742273, 0.42205033228020483]",7.481,4c2259e97b3f,ok,
9,0.891250938134,lbfgs,0.41692297907160425,0.059686474063675644,0.4186919161622319,0.4268364978392203,"[0.4914000712504453, 0.4701289834206581, 0.3687890920496688, 0.33268631000414384, 0.42161043863310527]",2.457,4c2259e97b3f,ok,
10,0.891250938134,liblinear,0.4169433839954288,0.059848795939533406,0.41860514622921186,0.4269054687704106,"[0.49158843891112664, 0.4701795020266358, 0.3682405016599041, 0.3326504816283834, 0.422057995751094]",7.932,4c2259e97b3f,ok,
11,0.841395141645,lbfgs,0.41691726797483397,0.059686002225767205,0.41868367369962056,0.42683010070513633,"[0.4913855756487538, 0.4701289834206581, 0.36878228782287825, 0.3326790543487743, 0.42161043863310527]",2.584,4c2259e97b3f,ok,
