model_id,model_name,split,row_type,cv_f1_up,accuracy,precision_up,recall_up,f1_up,precision_not_up,recall_not_up,f1_not_up,selected
4,Gradient Boosting,test,final,0.4634201173328779,0.5839440215592644,0.3320039880358923,0.5196809432980752,0.40516425577937004,0.7715275486638073,0.608034321372855,0.680093063835975,True
-1,Always UP,test,baseline,,0.27265850314405937,0.27265850314405937,1.0,0.428486514599896,0.0,0.0,0.0,False
-2,Always NOT_UP,test,baseline,,0.7273414968559406,0.0,0.0,0.0,0.7273414968559406,1.0,0.8421513617079512,False
