class,precision,recall,f1_score,support
NOT_UP,0.7715275486638073,0.608034321372855,0.680093063835975,15384
UP,0.3320039880358923,0.5196809432980752,0.40516425577937004,5767
accuracy,0.5839440215592644,,,21151
